"Accelerator R&D","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Accelerator+R%26amp%3bD","1","£1,927,885.00"
"Acoustics","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Acoustics","23","£15,766,544.00"
"Aerodynamics","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Aerodynamics","52","£63,384,836.00"
"Ageing: chemistry/biochemistry","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Ageing%3a+chemistry%2fbiochemistry","1","£475,926.00"
"Algebra & Geometry","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Algebra+%26amp%3b+Geometry","134","£70,353,866.00"
"Analytical Science","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Analytical+Science","94","£146,890,596.00"
"Animal behaviour","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Animal+behaviour","1","£506,361.00"
"Animal organisms","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Animal+organisms","1","£1,581,410.00"
"Applied Arts HTP","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Applied+Arts+HTP","1","£6,358,107.00"
"Artificial Intelligence","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Artificial+Intelligence","149","£239,308,678.00"
"Assess/Remediate Contamination","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Assess%2fRemediate+Contamination","3","£4,534,982.00"
"Asymmetric Chemistry","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Asymmetric+Chemistry","11","£13,640,959.00"
"Atoms & Ions","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Atoms+%26amp%3b+Ions","13","£6,214,218.00"
"Behavioural & experimental eco","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Behavioural+%26amp%3b+experimental+eco","1","£1,975,496.00"
"Biochemical engineering","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Biochemical+engineering","6","£18,986,494.00"
"Bioelectronic Devices","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Bioelectronic+Devices","5","£22,042,473.00"
"Bioenergy","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Bioenergy","29","£31,787,945.00"
"Bioinformatics","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Bioinformatics","16","£52,029,826.00"
"Biological & Medicinal Chem.","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Biological+%26amp%3b+Medicinal+Chem.","30","£45,602,036.00"
"Biological membranes","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Biological+membranes","1","£2,215.00"
"Biomaterials","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Biomaterials","86","£103,182,861.00"
"Biomechanics & Rehabilitation","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Biomechanics+%26amp%3b+Rehabilitation","56","£69,583,839.00"
"Biomedical neuroscience","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Biomedical+neuroscience","19","£29,812,936.00"
"Biomedical sciences","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Biomedical+sciences","1","£188,407.00"
"Bionanoscience","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Bionanoscience","1","£1,999,639.00"
"Biophysics","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Biophysics","45","£44,234,272.00"
"Bioprocess Engineering","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Bioprocess+Engineering","19","£29,798,748.00"
"Bioreactors","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Bioreactors","1","£105,790.00"
"Building Ops & Management","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Building+Ops+%26amp%3b+Management","32","£67,705,343.00"
"Carbohydrate Chemistry","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Carbohydrate+Chemistry","1","£920,060.00"
"Carbon Capture & Storage","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Carbon+Capture+%26amp%3b+Storage","34","£36,659,545.00"
"Catalysis & Applied Catalysis","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Catalysis+%26amp%3b+Applied+Catalysis","124","£116,914,669.00"
"Catalysis & enzymology","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Catalysis+%26amp%3b+enzymology","2","£689,340.00"
"Cells","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Cells","2","£6,116,997.00"
"Chemical Biology","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Chemical+Biology","39","£64,525,002.00"
"Chemical Structure","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Chemical+Structure","54","£57,653,713.00"
"Chemical Synthetic Methodology","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Chemical+Synthetic+Methodology","72","£101,434,212.00"
"Civil Engineering Materials","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Civil+Engineering+Materials","37","£20,928,281.00"
"Climate & Climate Change","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Climate+%26amp%3b+Climate+Change","3","£1,750,258.00"
"Coal Technology","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Coal+Technology","1","£6,550,555.00"
"Coastal & Waterway Engineering","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Coastal+%26amp%3b+Waterway+Engineering","68","£32,622,286.00"
"Cognitive Psychology","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Cognitive+Psychology","7","£3,369,388.00"
"Cognitive Science Appl. in ICT","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Cognitive+Science+Appl.+in+ICT","8","£7,755,722.00"
"Cold Atomic Species","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Cold+Atomic+Species","24","£31,007,011.00"
"Combustion","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Combustion","33","£27,342,320.00"
"Complex fluids & soft solids","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Complex+fluids+%26amp%3b+soft+solids","53","£51,834,320.00"
"Complexity Science","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Complexity+Science","40","£79,881,743.00"
"Composition","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Composition","1","£5,971,211.00"
"Comput./Corpus Linguistics","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Comput.%2fCorpus+Linguistics","15","£7,473,080.00"
"Computational Linguistics","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Computational+Linguistics","1","£340,421.00"
"Computational Methods & Tools","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Computational+Methods+%26amp%3b+Tools","1","£98,603.00"
"Computer Graphics & Visual.","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Computer+Graphics+%26amp%3b+Visual.","36","£68,197,947.00"
"Computer Sys. & Architecture","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Computer+Sys.+%26amp%3b+Architecture","52","£59,902,813.00"
"Condensed Matter Physics","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Condensed+Matter+Physics","82","£97,207,707.00"
"Construction Ops & Management","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Construction+Ops+%26amp%3b+Management","14","£24,992,112.00"
"Continuum Mechanics","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Continuum+Mechanics","60","£60,997,636.00"
"Control Engineering","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Control+Engineering","44","£66,424,081.00"
"Co-ordination Chemistry","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Co-ordination+Chemistry","42","£26,693,938.00"
"Criminal Law & Criminology","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Criminal+Law+%26amp%3b+Criminology","3","£5,019,737.00"
"Criminology","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Criminology","5","£5,080,147.00"
"Data Handling & Storage","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Data+Handling+%26amp%3b+Storage","1","£742,513.00"
"Design & Testing Technology","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Design+%26amp%3b+Testing+Technology","40","£63,797,044.00"
"Design Engineering","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Design+Engineering","37","£56,318,536.00"
"Design of Process systems","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Design+of+Process+systems","52","£97,558,109.00"
"Design Processes","NGBOChooseTTS.aspx?Mode=TOPIC&ItemDesc=Design+Processes","15","£22,694,988.00"
