Id,Label,Num,Val
26848,abbess, mr c,2,157381
19,abbott, mr k,1,56808
29057,abbott, professor a,2,144217
20,abdel-gayed, dr r,1,110641
48689,abdelmoty, dr a,2,200222
29289,abdelrazik, dr m,1,76939
23,abel, professor ew,1,150000
24,abell, professor c,5,28536939
54515,abell, professor js,21,11008511
36168,abell, professor p,1,96174
42696,abeyasekera, dr s,1,104064
29,abraham, dr e,2,103000
28,abraham, professor d,11,4285446
45099,abraham, professor h,2,285090
31,abraham, professor r,4,341782
32,abrahams, dr i,2,65017
22096,abrahams, professor id,2,105512
29376,abram, professor ra,6,661561
35,abramsky, professor s,8,2037599
62698,abu tair, dr a,1,174488
38,acar, professor b,1,119216
65727,acar, professor m,3,292815
40,acarnley, mr pp,5,802744
38048,acheson, dr r,1,33283
51713,ackerman, dr m,2,253943
45,ackland, professor gj,8,522677
49,ackroyd, mr r,2,180808
44164,adair, professor a,3,304255
32600,adam, professor a,2,374591
60,adams, dr d,1,80399
65,adams, dr m,4,280837
71,adams, dr r,1,120384
72,adams, mr a,4,434629
75,adams, professor a,12,1798652
52614,adams, professor b,6,1156809
39364,adams, professor c,1,209296
42882,adams, professor cs,3,662584
39111,adams, professor dr,1,40180
42440,adams, professor m,5,788698
69,adams, professor rg,1,114060
34356,adamson, dr k,1,158418
83,adcock, dr p,5,847918
50364,addenbrooke, dr t,2,349857
29140,addison, dr c,1,131592
29706,addison, professor p,4,216079
86,addlesee, dr a,2,159821
88,adelson, mr r,1,104423
92,adkins, dr c,3,107126
26832,adl, dr p,3,531950
37748,adolf, dr d,4,471196
31924,adya, dr a,1,19468
98,affrossman, dr s,5,353685
99,agar, dr t,1,81034
101,aggarwal, professor rk,6,756429
34765,aggoun, professor a,1,56341
106,aghvami, professor ah,15,1726485
44212,agius, dr r,1,5523
61648,aglietti, professor gs,1,103805
65772,ah-see, mr a,1,165769
31341,ahmad, dr m,1,56277
117,ahmad, dr sr,2,113987
118,ahmed, professor h,9,3141474
128,aindow, professor m,7,6008032
132,ainsworth, professor a,3,361574
34298,ainsworth, professor m,6,178953
31542,ainsworth, professor p,1,40194
32229,ait-boudaoud, dr d,1,35009
34456,aitchison, mr d,1,190890
143,aitchison, professor c,5,443565
140,aitchison, professor s,21,7799336
147,aitken, dr ra,2,213834
42535,aitken, professor cgg,1,6000
26583,ajmall, dr a,1,93055
34604,akay, professor g,3,354459
21250,akhavan, professor j,3,172048
71203,akhtar, dr m,2,143420
44155,akhtar, professor m,2,143420
156,akhter, dr ma,2,140153
27853,akid, professor r,2,168238
31933,akintoye, professor a,2,192498
43057,akisanya, professor a,2,287202
30130,al raweshidy, professor h,1,128389
160,al-daini, dr a,1,92447
48598,al-duri, dr b,1,150127
162,al-hassani, professor s,6,673085
34109,al-khalili, professor j,3,3357588
166,al-mudares, dr m,1,2775200
173,alam, professor ma,3,363944
42485,alavi, professor a,6,512459
36658,alberts, dr i,1,42236
52773,alboussiere, dr t,1,41931
36022,albrecht, professor aj,1,20800
51413,alcock, dr jr,1,224818
180,alcock, dr n,1,140000
181,alder, dr c,1,115581
182,alder, dr g,3,318349
183,alder, professor jf,3,320518
184,alder, professor r,9,1020375
185,alderman, dr n,1,81384
33062,alderson, dr k,1,101241
48403,alderson, professor a,1,105628
64967,aldridge, professor s,1,172972
192,aleksander, professor i,1,92406
198,alexander, mr dk,1,117050
37049,alexander, mr j,1,323836
26724,alexander, mrs c,3,133558
200,alexander, professor k,3,194545
42455,alexandrov, dr v,1,51657
44077,alexandrov, professor as,1,9460
36081,alford, professor n,9,947421
204,ali, dr k,3,346272
21228,ali, dr m,1,79350
103161,aliotta, professor m,1,1527687
39965,alkadhimi, dr k,1,82081
36694,allan, dr a,3,1226091
46261,allan, dr g,2,301136
33127,allan, dr n,2,95508
36080,allan, dr ps,3,892359
36608,allan, dr r,6,1322903
213,allan, professor nl,12,1467054
32336,allan, professor r,3,352725
127902,allemann, professor rk,1,696512
40958,allen, dr a,1,89384
-3093,allen, dr ar,2,201559
224,allen, dr c,2,153564
237,allen, dr n,3,252517
27078,allen, ms g,1,12630
76172,allen, professor cb,2,313072
34809,allen, professor gc,16,2390073
251,allen, professor h,3,270995
231,allen, professor j,3,560935
252,allen, professor j,1,106275
122136,allen, professor l,3,138314
236,allen, professor mp,8,939436
254,allen, professor n,1,147648
255,allen, professor p,1,62810
247,allen, professor pm,1,47865
240,allen, professor r,1,137601
41423,allen, professor r,3,535105
242,allen, professor s,4,488666
262,allinson, professor nm,16,1570840
267,allison, dr c,3,178066
44379,allison, dr w,3,257662
